sample_id,paragraph_id,asset_id,asset_name,label,project_ids,section_path,text
training-20260915-s1,33862093:p00172,drm_ews,Disaster risk management and early warning,,P177077,II.B,"27. This subcomponent will address the access gap in rural and remote areas, and will support digital access inclusion, especially for women and PWDs. While the project primarily focuses on improving access to broadband connectivity in urban and peri-urban areas, where access to electricity is generally available, this subcomponent will support the government's innovative approaches, elaborated below, to promoting inclusive access to broadband for underserved and marginalized communities."
training-20260915-s1,31747152:p00229,dpi,Digital public infrastructure,,P167183,II.B,"(k) Other privacy protection mechanisms that may enhance data protection and privacy of registrants and NIN holders are detailed in the following paragraphs, including in annex 2."
training-20260915-s1,34397339:p00156,data_hosting,Data hosting,,P180807,II.B,"32. Subcomponent 1.2: Enhancement of the capacity, coverage, security and resilience of the Government's Intranet (US$2.64 million). The FTTP network deployed under Subcomponent 1.1 will provide the infrastructure layer that will be used under this subcomponent 1.2 to connect government agencies and establish secure cross- government data and information exchange at the national level. Approximately 90 percent of government agencies outside Apia will migrate from an outdated, end-of-life copper network to the new climate resilient, secure FTTP network. Specifically, this Subcomponent will support the deployment of a robust communication platform equipped with backup functions and recovery plans to ensure continuous operation of government services, facilitate secure and efficient data exchange across government agencies, and allow for better coordination and data sharing at the national level including during emergencies. The investments in climate- resilient technology will help minimize network downtime (currently at a high 10 percent outside Apia), particularly downtime due to weather-related disruptions, eliminate Single Points of Failure (SPOF), and mitigate the impact of power cuts on government agencies, schools, and hospitals. This subcomponent will also finance activities to strengthen cyber resilience through support of SamCERT, protecting the Government network against cyber threats, minimizing the impact of cyber breaches and putting in place business continuity strategies for critical infrastructure, such as utilities and telecommunications, to maintain government services in the event of cyber breaches. Finally, this subcomponent will also support expanded public access by financing the installation of public Wi-Fi hotspots in rural areas."
training-20260915-s1,34338772:p00746,access_connectivity,Access and connectivity,,P180495|P180693|P502532|P505095,ANNEX 6,"• For last-mile connectivity to institutions, expectations are that around half (50 percent) will be deployed through energy efficient fiber optic cables,95 while the remaining will likely be a mix of LEO satellite and 4G cellular, depending on the results of a competitive process."
training-20260915-s1,40052992:p00160,drm_ews,Disaster risk management and early warning,,P505094,II.B,"21. Subcomponent 1.2: Supplying last mile connectivity. This subcomponent aims to extend internet connectivity to a minimum of 500 selected government institutions, including ministries, departments, and agencies (MDAs), including schools, and higher education institutions (HEIs), especially those in climate-vulnerable hotspots. If funding becomes available for a second phase, connectivity support could be extended to health facilities, livestock and fisheries camps, refugee settlements and host communities, and so on. Currently just 415 out of the targeted 15,600 national sites have been connected to the Government Wide Area Network (GWAN), leaving a huge infrastructure deficit, and the supply of international internet bandwidth is just 4.5 Gbit/s for the whole of government. Although this segment of the market is less commercially attractive, an investment of US$25 million in project funds should nevertheless be enough to leverage an additional US$8 million in infrastructure co-investment. This investment will be used to support the roll out of mobile broadband coverage (4G/5G cellular and/or LEO satellite) and upgrading 2G cell sites to more energy-efficient 4G/5G cellular technologies, with a target of 300 cell sites, as well as installing additional internet exchange points (IXPs) and data"
training-20260915-s1,34310682:p00378,cybersecurity,Cybersecurity,,P180462,ANNEX 2,"• The IERP will make possible a holistic and coordinated response to climate emergencies, involving all first-response entities and distributing roles to respond as quickly and effectively as possible to climate shocks."
training-20260915-s1,34022655:p00176,submarine_cable,Submarine cable,,P170941,I.B,"Need to boost digital skills, and access to affordable devices and to regional and global markets to position Kenya as a regional digital hub"
training-20260915-s1,33107441:p00501,access_connectivity,Access and connectivity,,P160766,ANNEX 2,"32. The expected growth in the digital economy will require robust government data infrastructure. The Government has adopted a government-wide approach to data infrastructure and is consolidating all government server rooms and Network Operations Centers (NOCs) into a standardized government cloud infrastructure. It is projected that this investment will support the growth of government ICT business operations over the next 5 to 10 years. Therefore, enhancing the data center infrastructure by acquiring storage, networking equipment, and computing resources for the government shared platform will enable cost-effective sharing of resources, increase reliability and security of electronic services offered by the government, enhance storage of government data, as well as create efficiency in sharing and accessing government applications through the shared infrastructure. As opposed to operating multiple siloed systems, resource sharing among government entities will also help reduce energy consumption. Besides this efficiency gain, considerations related to data center energy efficiency will be considered when expanding data center capacity (for example, use of renewables). In addition, when expanding data center infrastructure, climate risks will be taken into consideration, including robustness, back-up strategies, discontinuity plans, and training of staff on these."
training-20260915-s1,33812956:p00152,submarine_cable,Submarine cable,,P176108,I.B,"16. Significant efforts will be needed to establish critical foundations and platforms to deliver prioritized digital services to businesses, citizens and residents. Most government transactional services, such as birth, marriage, and death registration, registering a business, or paying taxes, are still manual and paper based. Kiribati's Digital Government Master Plan (2021), 14 supported through the WB-financed Kiribati Connectivity Project (P159632), lays out basic foundations and potential quick-wins for digital government. The Master Plan envisages a high-level digital transformation process beginning with digitalization of business processes in government agencies, data sharing between government agencies following the single data collection (""once-only"") principle, 15 building e-services for citizens and optimizing digital government processes. The Plan identifies the main enablers of an integrated digital government, which include digital services to citizens, interoperability and secure data exchange, digital identity and trust infrastructure, base registers, and metadata management of government systems. A ""whole of government"" approach is proposed to establish common standards and provide access to shared services across all arms of government."
training-20260915-s1,40081106:p00085,dpi,Digital public infrastructure,,P171305,ANNEX 1,• Consultancy services for information security management systems against ISO 27001 Standard (ISMS)
training-20260915-s1,40087727:p00252,submarine_cable,Submarine cable,,P500628,III.B,"66. Submarine cable-related activities, under Subcomponent 2.2, will be implemented through private sector-led SPVs in Liberia and Sierra Leone, with private partners as majority shareholders and government equity participation financed under the project. The SPVs will hold the responsibility for implementation of submarine cable and related activities, including marine segments, landing stations, and associated infrastructure. Procurement governance, accountability, and operating arrangements for SPVs will be set out in the SPV Operations Manual which shall be cleared by the World Bank, and procurement capacity and systems assessment will be conducted once each SPV has been incorporated and operational to confirm the compliance with World Bank's Core Procurement Principles."
training-20260915-s1,34327188:p00163,mobile_towers,Mobile networks and towers,,P177478,II.B,"41. The subcomponent will provide additional support for transparency around audit findings and audit follow-up. Building on the PAC's ongoing efforts to follow-up on the GAC's audit recommendations, the Project will support (i) establishing a digital system to track actions on audit recommendations; (ii) timely publication of the consolidated fund annual audit and follow-up report; and (iii) change management and developing the capacity of key actors involved in the process of audit, audit report publication, audit recommendations follow-up and reporting on audit follow-up actions - the PAC in the Legislature, GAC, MFDP, Controller and Accounting General (CAG), Internal Audit Agency, and audited government institutions."
training-20260915-s1,33835348:p00230,dpi,Digital public infrastructure,,P176396,II.B,"(e) 2.2.5. Cyber resilience and data protection. This supports reinforcing cybersecurity and data protection to safeguard digital services and the digital economy: (i) developing cybersecurity standards, compliance, and auditing framework for the public and private sectors; (ii) building the capacity of the national CSIRT and IT officials across the public sector to conduct threat intelligence and prevent, mitigate, and respond to incidents and attacks; (iii) establishing an independent data protection authority; (iv) developing data protection standards, risk assessments, audit frameworks and regulations; (v) building capacity of data protection authority staff and data protection officers across the public and private sectors; (vi) facilitating the establishment of formal training and educational programs for the wider population, including for school students at different levels, with a particular focus on university-level and female students; and (vii) organizing public awareness campaigns."
training-20260915-s1,34394311:p00084,drm_ews,Disaster risk management and early warning,,P176317,I.A,"4. Digital transformation is contributing to mitigating the human cost of climate-related natural disasters, while digital infrastructure itself remains vulnerable. A range of early warning systems are in place, including the Department of Information and Communications Technology (DICT)'s emergency warning broadcast system. Such systems have played an important role in reducing the loss of life in the past: In December 2021, 400 lives were lost because of Typhoon Rai, whereas Typhoon Haiyan in 2013, of similar strength, resulted in 6,300 deaths. Extreme climate events pose a high risk of damaging and disrupting digital connectivity infrastructure, including equipment shelters and fiber optic cables, due to storm surges, sea-level rise, and heavy coastal winds. Improving resilience to climate shocks and natural disasters will involve providing resilient digital connectivity, preparedness, and response; and undertaking risk-informed investments, and expanding digital access to unconnected climate hot-spots."
training-20260915-s1,34194833:p00292,drm_ews,Disaster risk management and early warning,,P180931,V,"68. Communities and individuals who believe that they are adversely affected by a project supported by the World Bank may submit complaints to existing project-level grievance mechanisms or the Bank's Grievance Redress Service (GRS). The GRS ensures that complaints received are promptly reviewed in order to address project-related concerns. Project affected communities and individuals may submit their complaint to the Bank's independent Accountability Mechanism (AM). The AM houses the Inspection Panel, which determines whether harm occurred, or could occur, as a result of Bank non-compliance with its policies and procedures, and the Dispute Resolution Service, which provides communities and borrowers with the opportunity to address complaints through dispute resolution. Complaints may be submitted to the AM at any time after concerns have been brought directly to the attention of Bank Management and after Management has been given an opportunity to respond. For information on how to submit complaints to the Bank's Grievance Redress Service (GRS), visit http://www.worldbank.org/GRS. For information on how to submit complaints to the Bank's Accountability Mechanism, visit https://accountability.worldbank.org."
training-20260915-s1,33835348:p00150,data_hosting,Data hosting,,P176396,I.B,"Gouvernementale, COMGOV);47 (b) shared frameworks and technical solutions for system interoperability, trusted data sharing, and data hosting;48 (c) foundational digital ID49 for online identity verification and digital authentication; (d) shared digital payment infrastructure; (e) shared SMS notification applications; and (f) the establishment of digital guardrails—data protection and cybersecurity, both de jure and de facto to safeguard digital infrastructure and transactions that underpin e-services. Together, these building blocks form the basis of an enabling 'digital stack' for transactional e- services and the foundations for the GoB's e-government architecture, featuring infrastructure and applications that can be used by any Ministry, Department, and Agency (MDA) wishing to launch a new digital service."
training-20260915-s1,40077325:p00041,submarine_cable,Submarine cable,,P171976,I.B,"4. Progress toward the Achievement of the PDO is moderately unsatisfactory, reflecting: (a) the project's inability to reach its PDO indicators by the closing date due to delays in its key activity (i.e., broadband internet service); and (b) significant delays in activities supporting intermediate indicators. As a result, this restructuring will not adjust the results framework. Instead, the Implementation Completion and Results report will document and evaluate the impact of achievements to date."
training-20260915-s1,34338772:p00725,data_hosting,Data hosting,,P180495|P180693|P502532|P505095,ANNEX 6,"• Financing for a consolidate Government data hosting solutions, which is likely to include a greenfield physical data center will be deployed in a climate-safe location, with adequate redundancy and automated backup and disaster recovery system to avoid loss of sensitive government data. Current data management and hosting practices in DRC are vulnerable to floods and other extreme climate events that could lead to large-scale data loss due to absence of adequate backup and fragmented data hosting practices. A climate-risk assessment will be conducted to identify flood-safe location for data hosting and technical and financial feasibility for embedding automated backup and disaster recovery to avoid data loss in the event of climate calamities. The new data center will meet the criteria for EDGE green building certification for green data center, requiring at least 20 percent 6.2 savings in energy, water, and embodied energy in materials. (Adaptation/ Mitigation)"
training-20260915-s1,40082999:p00060,dpi,Digital public infrastructure,,P176459,II,(h) Component 4 - CERC. No change in budget and no structural changes introduced through this restructuring. The CERC has been officially closed since July 2024.
training-20260915-s1,34428613:p00238,drm_ews,Disaster risk management and early warning,,P506611,IV.A,"51. Assessment and reduction of adaptation risks. The project will manage the main risks of flooding, intense rainfall, and landslides identified through the Climate and Disaster Risk Screening Tool by incorporating climate-resilient design features in last-mile digital connectivity expansion and integrating disaster risk reduction measures (see annex 2). To strengthen data hosting and storage capacity, it will embed automated backup and disaster recovery system to avoid data loss in the event of climate calamities. For data backup, secondary sites will be identified for disaster recovery purposes based on the climate risk assessment. It will also target schools that are at high risk of climate impacts such as floods, by using satellite technology and expand last-mile connectivity to enable e-education. Furthermore, the project will facilitate seamless integration of the DPI building blocks with crucial systems, including interoperability with regional crises management centers, health care platforms, Mobile Engage outreach, and social protection systems. This integration enhances disaster preparedness, early warning systems, and crisis communication."
training-20260915-s1,33835348:p00243,drm_ews,Disaster risk management and early warning,,P176396,II.C,"(a) Individuals. Broadband connectivity and digital access investments will aim to reduce the spatial and gender digital gaps identified. Beneficiaries of local connectivity and digital access enabling schemes will primarily be underserved rural communities,102 particularly those correlated with higher poverty levels and/or vulnerability to climatic shocks (30 percent of beneficiaries in 'climate hotspots'), and thus merit use of public funds to catalyze both expanded network coverage (to at least 15 percent of the Burundi population) and provision of demand stimuli. Digital access initiatives will also target specific vulnerable communities that are currently underserved: (i) women (for example, through women's groups), (ii) indigenous populations, and"
training-20260915-s1,34338772:p00741,drm_ews,Disaster risk management and early warning,,P180495|P180693|P502532|P505095,ANNEX 6,"connected during the time of crisis; have access to extreme weather alerts; and ensure digitally enabled delivery of basic services, for example, emergency cash transfers through mobile money."
training-20260915-s1,34397339:p00159,dpi,Digital public infrastructure,,P180807,II.B,"a. Establish a Government Integrated Data Center: Financing for a Government integrated data center for storing critical data which utilizes renewable, redundant energy sources to minimize network downtime, eliminate SPOF and reduce the carbon footprint. The specifications for the data center will meet good practices for access management, resource efficiency, and security and cyber resilience. Government will seek EDGE certification for any data center infrastructure located domestically. 34 This subcomponent will also finance technical assistance to examine options for incorporating cloud computing to enhance the resilience and security of Government data systems, particularly during national emergencies and climate- related disasters, while also reducing maintenance costs. This analysis will also evaluate the potential use of a private government cloud for securely storing sensitive information."
training-20260915-s1,40087727:p00181,fiber,Fiber networks,,P500628,II.D,"34. This subcomponent finances the policy, legal and technical foundations needed to move data safely across borders, host it cost-effectively, ensure the implementation of regional use cases based on data interoperability and power advanced cross-border digital services. To meet government workload and data-residency needs while catalyzing private investment, the project will allow use of (a) commercial cloud services (public or sovereign cloud offerings compliant with national security and data protection standards); or (b) private co-location data centers meeting Tier III (or equivalent) and ISO/IEC 27001 requirements. The operational modality —cloud or co-location—will be selected during implementation based on planned feasibility studies, market sounding, and regulatory readiness, ensuring cost- effectiveness, resilience, and compliance. Activities will include:"
training-20260915-s1,32159893:p00122,cybersecurity,Cybersecurity,,P167543,I.B,"10. Several factors help explain the dismal performance of digital infrastructures: notably a high share of the population living in rural areas (84 percent of the total population compared to 60 percent for SSA - see Figure 1.3), limited access to electricity (11 percent of the rural population have access to electricity compared to 23 percent for SSA10), and high mobile prices (a basket of mobile services represents 33 percent of monthly Gross National Income (GNI) per capita compared to 14 percent for Africa). The lack of affordability can be partly attributed to a high level of sector taxation, while inadequate mobile applications and services (that are not always available in local languages) and low international connectivity contribute to a relatively low level of usage by regional standards."
training-20260915-s1,33815663:p00141,data_hosting,Data hosting,,P175592,I.B,"7. International fiber optic connectivity. Congo is currently connected to only one submarine cable (West Africa Cable System (WACS16), with a landing station in Pointe-Noire, exclusively managed by the state- owned incumbent operator Congo Telecom (CT). Due to the current instable international connectivity (several outages occurred in 2020 and amid the presidential election in March 2021) and increased demand, there is an urgent need for diversification. Redundancy via terrestrial fiber optic links (currently owned by the GoC) remains limited. CT has an interconnection with the Democratic Republic of Congo (DRC) since 2017 (10GB-capacity linking Brazzaville to Kinshasa through a sub-river cable) and Liquid Telecom, a leading private telecommunication operator in Africa, inaugurated a 20GB-capacity wireless link across the Congo River between Congo and DRC in September 2021. The interconnection with Gabon established under the World Bank-financed Central African Backbone (CAB) regional project (P122398) is operated and commercialized by Mambs Services (a Congolese private sector company) under a seven-year contract. Under the CAB Project, financed by the African Development Bank (AfDB), Congo should also interconnect with Cameroon and the Central African Republic. Due to COVID-19, the project has faced delays and is now expected to be completed by the end of 2022. Additionally, Meta-backed (previously Facebook) submarine cable project, 2Africa, plans to install a submarine cable landing station in Pointe-Noire by the end of 2022. The arrival of the new landing station cable is expected to help reduce prices and contribute to strong growth in broadband subscription."
training-20260915-s1,33937854:p00146,dpi,Digital public infrastructure,,P178609,I.B,"20. The growing supply and use of digital services and expected increase in users will need to be supported by enhanced capability of the ARSAT data center. The government provides shared infrastructure services to government agencies through ARSAT, which owns a medium-sized data center. As data use and digital government services expand, ARSAT will need to expand its capacity to meet increased demand and provide new and more secure cloud computing, hosting, and housing services, which are expected to lead to cost savings for the Government in the medium term. Cloud migration has led to up to 80 percent in cost savings related to IT infrastructure maintenance in some developed countries. Data centers and computing capacities are essential inputs for the public sector to leverage Artificial Intelligence (AI), big data analytics and other data-related technologies that are increasingly implemented in the management and delivery of public services. Additionally, the local data infrastructure is increasingly vulnerable to climate-related events, as the effects of climate change risks affecting the AMBA area have become more severe, especially through increasing flooding, heatwaves, and extreme precipitation events. These risks have the potential to damage the elements required for those data centers to perform, such as cooling systems, and need to be upgraded to ensure their resilience. Under this projected scenario, it is necessary to ensure all data infrastructure can withstand these events and that proper measures are in place to ensure increased climate resilience and continuity of key digital services."
training-20260915-s1,33602788:p00500,mobile_towers,Mobile networks and towers,,P173373,ANNEX 2,"(a) Strengthened cybersecurity operational capacity, which will feature support for (i) the development of institutional and policy frameworks for the newly established NCSA and existing Rw-CSIRT, including the development of strategies, work and action plans, as well as standard operating procedures; (ii) technical and operational capabilities, featuring hardware, software, platforms, and systems for the NCSA and technical upgrades for the national CSIRT and the Security Operations Center to support the management of key operational and technical functions; (iii) capacity building and awareness raising programs, including training for key stakeholders and facilitation of cybersecurity professional certifications, and (iv) support for international partnerships and collaboration with other cybersecurity agencies, CSIRTs or relevant associations, including support for staff exchanges."
training-20260915-s1,34295403:p00121,access_connectivity,Access and connectivity,,P161086,II,"• ""Grant"" means monetary payments made from the proceeds of the Financing to a Beneficiary in accordance with the provisions of Section I.F of Schedule 2 to this Agreement and the Project Operations Manual, for the purpose of supporting research and innovation initiatives under Part 3.4(ii) of the Project."
training-20260915-s1,33053299:p00254,access_connectivity,Access and connectivity,,P169945,VIII,"optic network refers to the network constructed with fiber optic cables. The definition of ""built"" means the condition that the fiber optic cables are physically laid regardless lit or in use. The measure would be in terms of ""route kilometers"" not in actual length of fiber (i.e. the number of individual fibers carried in a duct, or their transmission capacity, would not be factored into the indicator). This would allow for the fact that many of the fibers will be initially ""dark"" but will be illuminated as they are needed, and also that the transmission capacity may rise due to technological change. Thus, measuring route kilometers of fiber is a more neutral measure than counting individual fibers or their transmission capacity. As backbone projects will be built primarily through PPP, project funds will therefore typically not finance 100% Additional Financing for West African Regional Communications Infrastructure Program (WARCIP) Togo Project - APL2 (P169945)"
training-20260915-s1,34295403:p00038,access_connectivity,Access and connectivity,,P161086,I.C,"Context: This component aims to establish an integrated digital platform as a shared, cloud-based system accessible to all government agencies. Creation of the platform will increase digital integration across government agencies, lead to significant cost efficiency savings for the government, and offer efficient and secure public digital services for citizens and businesses."
training-20260915-s1,34394311:p00138,mobile_towers,Mobile networks and towers,,P176317,II.B,Component 1: Backbone Network (US$50.94 million)
training-20260915-s1,32108178:p00279,data_hosting,Data hosting,,P171528,III.A,"(b) Grenada: A dedicated PIU has been established in the Ministry of National Security, Public Administration, Home Affairs, and ICT for implementation of all digital transformation projects. Project financing will be utilized to augment existing capacity of the PIU or other supporting units as needed. The Central Procurement Unit of the Ministry of Finance will be responsible for procurement support under the project and the Accountant General's office will be responsible for FM. Environmental and Social Safeguards oversight will be managed by the central unit covering all World Bank-financed projects. The Permanent Secretary of Public Administration, Ministry of National Security, Public Administration, Home Affairs, and ICT will undertake coordination responsibilities for project implementation until a full-time project manager is recruited."
training-20260915-s1,40109413:p00070,mobile_towers,Mobile networks and towers,,P177158,II,a. Submarine cable dropped (US$11.0 million)
training-20260915-s1,33844146:p00197,access_connectivity,Access and connectivity,,P176459,II.B,"37. This subcomponent aims to accelerate broadband uptake and increase participation and inclusion in the digital economy, by addressing demand-side barriers to uptake of digital tools and services . Particular attention will be given to ensuring that the most impoverished communities, including in remote rural areas and areas vulnerable to climate stress, women, and marginalized groups, are prioritized. Activities will target areas covered by broadband network expansion under subcomponent 1.2, as well as some secondary cities and peri-urban areas where connectivity networks and digital services exist but a significant usage/uptake gap remains. They would first be tested as pilots in selected communities, adopting an iterative approach before expanding operations. Activities to be financed include:"
training-20260915-s1,33815663:p00375,mobile_towers,Mobile networks and towers,,P175592,IV.D,"(i) Exclusion of most ""disadvantaged or vulnerable"" peoples, including indigenous peoples, in accessing project benefits. Girls and women are at a disadvantage due to limited use of the internet, time to devote to income-generating activities, and access to services. While increasing broadband internet access to underserved populations and improving the government's capacity to deliver digitally enabled public services hold promises for poverty reduction and shared prosperity digital divide of most vulnerable peoples, including women, can drive to more social and economic exclusion. As the access to social and economic opportunities will increasingly rely on digital access, it will be paramount to address the present (and any future) digital divide, by encouraging universal access to broadband. Supporting universal digital adoption and participation in the digital economy will require all Congolese to be equipped with the means to get online, including those who may be more disposed to digital exclusion -i.e., low income and rural households, women, the elderly and disabled. The project will address this risk under Component 2 (Expanding Digital Broadband"
training-20260915-s1,33844146:p00279,cybersecurity,Cybersecurity,,P176459,III.C,"• Digital access initiatives, including public connectivity access points, schemes for affordable smart devices and digital skills programs will form a critical mass of digitally enabled citizens that can improve the financial viability of the investments made by operators in 'white' and 'gray' areas and for continued investment in Component Sustainability Mechanisms network upgrades, expansion, and maintenance commercially viable. Related public revenue raised on the back on private sector expansion can in turn be re-invested in new public access and services schemes."
training-20260915-s1,32159893:p00363,mobile_towers,Mobile networks and towers,,P167543,ANNEX 1,"a. infrastructure-mapping and service-mapping, with the current status of the digital infrastructure itself (i.e. mobile sites, power electricity availability, backhauling availability) and the service availability (i.e. 2G, 3G and 4G availability, bandwidth, retail prices);"
training-20260915-s1,33602788:p00500,cybersecurity,Cybersecurity,,P173373,ANNEX 2,"(a) Strengthened cybersecurity operational capacity, which will feature support for (i) the development of institutional and policy frameworks for the newly established NCSA and existing Rw-CSIRT, including the development of strategies, work and action plans, as well as standard operating procedures; (ii) technical and operational capabilities, featuring hardware, software, platforms, and systems for the NCSA and technical upgrades for the national CSIRT and the Security Operations Center to support the management of key operational and technical functions; (iii) capacity building and awareness raising programs, including training for key stakeholders and facilitation of cybersecurity professional certifications, and (iv) support for international partnerships and collaboration with other cybersecurity agencies, CSIRTs or relevant associations, including support for staff exchanges."
training-20260915-s1,33753850:p00253,mobile_towers,Mobile networks and towers,,P174620,II.B,45. The project will support:
training-20260915-s1,33937854:p00194,mobile_towers,Mobile networks and towers,,P178609,II.B,"these additional facilities will enable communities to adjust and prepare for climate change consequences. They will provide the storage and computing power to monitor and forecast weather, but also develop alerts and response plans to climate change events. These activities will increase local climate resilience, which will be more impactful for vulnerable populations, the most affected by climate-related disasters."
training-20260915-s1,33937854:p00146,access_connectivity,Access and connectivity,,P178609,I.B,"20. The growing supply and use of digital services and expected increase in users will need to be supported by enhanced capability of the ARSAT data center. The government provides shared infrastructure services to government agencies through ARSAT, which owns a medium-sized data center. As data use and digital government services expand, ARSAT will need to expand its capacity to meet increased demand and provide new and more secure cloud computing, hosting, and housing services, which are expected to lead to cost savings for the Government in the medium term. Cloud migration has led to up to 80 percent in cost savings related to IT infrastructure maintenance in some developed countries. Data centers and computing capacities are essential inputs for the public sector to leverage Artificial Intelligence (AI), big data analytics and other data-related technologies that are increasingly implemented in the management and delivery of public services. Additionally, the local data infrastructure is increasingly vulnerable to climate-related events, as the effects of climate change risks affecting the AMBA area have become more severe, especially through increasing flooding, heatwaves, and extreme precipitation events. These risks have the potential to damage the elements required for those data centers to perform, such as cooling systems, and need to be upgraded to ensure their resilience. Under this projected scenario, it is necessary to ensure all data infrastructure can withstand these events and that proper measures are in place to ensure increased climate resilience and continuity of key digital services."
training-20260915-s1,40105675:p00183,mobile_towers,Mobile networks and towers,,P170941,IV,1. Digital Infrastructure and Access
training-20260915-s1,33815663:p00375,submarine_cable,Submarine cable,,P175592,IV.D,"(i) Exclusion of most ""disadvantaged or vulnerable"" peoples, including indigenous peoples, in accessing project benefits. Girls and women are at a disadvantage due to limited use of the internet, time to devote to income-generating activities, and access to services. While increasing broadband internet access to underserved populations and improving the government's capacity to deliver digitally enabled public services hold promises for poverty reduction and shared prosperity digital divide of most vulnerable peoples, including women, can drive to more social and economic exclusion. As the access to social and economic opportunities will increasingly rely on digital access, it will be paramount to address the present (and any future) digital divide, by encouraging universal access to broadband. Supporting universal digital adoption and participation in the digital economy will require all Congolese to be equipped with the means to get online, including those who may be more disposed to digital exclusion -i.e., low income and rural households, women, the elderly and disabled. The project will address this risk under Component 2 (Expanding Digital Broadband"
training-20260915-s1,34310682:p00350,mobile_towers,Mobile networks and towers,,P180462,ANNEX 2,"• The current Tier 3 data center located in Vitória currently hosts most state data and does not have a backup facility, therefore it is susceptible to 'a single point of failure' in case of extreme climate events, or natural disasters. Measures to enhance redundancy (such as/including backup data storage facility) will be added to enable continuity of operations."
training-20260915-s1,33602788:p00240,data_hosting,Data hosting,,P173373,II.B,"meteorological, mapping and disaster preparedness agencies."
training-20260915-s1,33937854:p00434,mobile_towers,Mobile networks and towers,,P178609,ANNEX 2,"6. The infrastructure to be deployed includes all network elements required to provide end-to-end connectivity to final users covering all households in the most concentrated areas and relevant buildings (i.e., schools, health facilities, community centers, etc.). The network may comprise the following core elements:"
training-20260915-s1,31866361:p00137,submarine_cable,Submarine cable,,P170718,I.B,"5. FSM has made substantial progress over the past decade to rollout new infrastructure and create the market conditions necessary to support investments in digital services. The passage of the Telecommunications Act of 2014 liberalized the telecommunications sector and removed the monopoly conferred on FSM Telecommunications Corporation (FSMTC) as the state-owned incumbent operator. The law also provided for the creation of the FSM Open Access Entity (OAE), also known as FSM Telecommunications Cable Corporation (FSMTCC), as a wholesale- only provider of backbone services. In addition, the law established the Telecommunication Regulation Authority (TRA) as the independent sector regulator. In terms of broadband infrastructure, with the support of the United States Rural Utilities Service (RUS), Pohnpei was connected via the HANTRU-1 submarine cable system in 2010. With the support of the ongoing World Bank FSM Connectivity Project (P130592), submarine cable systems now connect Yap (since mid-2018) and Chuuk (mid-2019). Work is also significantly advanced to connect Kosrae to the East Micronesia Cable (EMC) system, which is expected to enter service by mid-2021. The EMC system is a collaboration between FSM, Kiribati (financed by IDA) and Nauru (financed by the Asian Development Bank). FSM's IDA-financed submarine cable systems are owned and operated by the OAE. Access to capacity on the submarine cable systems is guaranteed on transparent, non-discriminatory and cost-based terms."
training-20260915-s1,33107441:p00501,data_hosting,Data hosting,,P160766,ANNEX 2,"32. The expected growth in the digital economy will require robust government data infrastructure. The Government has adopted a government-wide approach to data infrastructure and is consolidating all government server rooms and Network Operations Centers (NOCs) into a standardized government cloud infrastructure. It is projected that this investment will support the growth of government ICT business operations over the next 5 to 10 years. Therefore, enhancing the data center infrastructure by acquiring storage, networking equipment, and computing resources for the government shared platform will enable cost-effective sharing of resources, increase reliability and security of electronic services offered by the government, enhance storage of government data, as well as create efficiency in sharing and accessing government applications through the shared infrastructure. As opposed to operating multiple siloed systems, resource sharing among government entities will also help reduce energy consumption. Besides this efficiency gain, considerations related to data center energy efficiency will be considered when expanding data center capacity (for example, use of renewables). In addition, when expanding data center infrastructure, climate risks will be taken into consideration, including robustness, back-up strategies, discontinuity plans, and training of staff on these."
training-20260915-s1,40087727:p00258,fiber,Fiber networks,,P500628,III.B,70. The overall residual procurement risk for the three countries after implementation of these mitigation measures is thus assessed as Substantial.
training-20260915-s1,33819612:p00269,submarine_cable,Submarine cable,,P177040,VII,"Project Development Objectives(s) To enhance the competitiveness of the broadband market, to improve identification for in-person and online service delivery, and to leverage digital technologies, data, and analytics for climate resilience"
training-20260915-s1,32108178:p00792,fiber,Fiber networks,,P171528,ANNEX 7,"(c) An integrated geospatial data platform linked with land records can inform both advanced planning and impact modeling for climate or health events, while also enabling decision making and rapid assistance targeting impacted households (for example, government can identify the impacted households or agricultural plots, know who they belong to, and make compensatory payments digitally);"
training-20260915-s1,34196069:p00238,access_connectivity,Access and connectivity,,P176932,II.B,"(b) (GA, GUI, GB, and MA) Establishment of cross-cutting enablers for digital government or core layers of digital public infrastructure such as payment platforms, electronic signature, and data exchange platforms. Activities include TA to support review and update of policies, legislation, and regulations considering continental and regional frameworks, feasibility studies to design and implement the digital public infrastructure, and financing of equipment, tools, and platforms and related capacity-building training of government officials. When needed for the development of key public digital services, assessment and feasibility studies for digital identification may be considered."
training-20260915-s1,33812956:p00189,submarine_cable,Submarine cable,,P176108,II.B,"d. Subcomponent 1.4. Cyber Security Program. This supports TA and capacity building for the development of operational and administrative standards, assurance, monitoring, audit, and Cyber-Security Emergency Response Team (CERT) capabilities. Engagement of a specialist early in the implementation stage is envisaged to inform the structure and operationalization of the CERT as well as establish a Cyber Security Program to pursue relevant industry certification. The Cyber Security Program will include comprehensive security training and awareness programs for all government users, government IT and security professionals, management, citizens, and private sector stakeholders."
