cluster_id,size,n_projects,n_documents,nearest_reference,nearest_reference_direction,cosine,top_terms,exemplar_clause_ids
projected_digital_for_resilience-c029,679,89,89,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2645,positioned uniquely collaborating afdb gained corporation twin wbg wealth convening ifc funded,31866282:p00106:c03:split-1|34310682:p00215:c03:split-1|33937854:p00311:c04:split-1|32321387:p00402:c05:split-1|34275965:p00145:c01:split-1
projected_digital_for_resilience-c079,345,84,84,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2773,aims seek designed aim seeks specifically objective help main three follow focus,34388773:p00163:c01:split-1|34428613:p00170:c15:split-1|34429409:p00176:c01:split-1|31167658:p00619:c02:split-1|32971756:p00200:c01:split-1
projected_digital_for_resilience-c127,345,72,72,Implement sovereign parametric insurance using satellite and sensor triggers for rapid payouts,digital_for_resilience,0.2788,crowd catalytic mobilize incentivize catalyze attract crowding attracting investors mobilizing stimulate capital,40087727:p00153:c12:split-1|40042661:p00181:c02:split-1|34388773:p00231:c02:split-1|40105675:p00051:c42:split-1|34388773:p00177:c15:split-1
projected_digital_for_resilience-c058,344,70,70,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2594,irr discount return conservative demonstrate sensitivity frr calculated npv opex ten rate,33118666:p00293:c10:split-1|33118666:p00295:c10:split-1|33118666:p00294:c10:split-1|34201758:p00229:c12:split-1|33421881:p00225:c12:split-1
projected_digital_for_resilience-c138,341,80,80,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.2340,etb storing diem saved spent dollar salary paid expenses monthly capex spending,31866361:p00257:c14:split-1|33753850:p00324:c10:split-1|31747152:p00314:c17:split-1|31866361:p00280:c25:split-1|33107441:p00259:c08:split-1
projected_digital_for_resilience-c135,338,85,85,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2834,gcrf paris aligned scd ida19 cpf aligns fcv contributes goals objectives partnership,40042661:p00174:c09:split-1|34204848:p00133:c01:split-1|33421881:p00142:c08:split-1|32093931:p00175:c01:split-1|34397339:p00124:c01:split-1
projected_digital_for_resilience-c085,337,83,83,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3485,ejustice archiving g2b g2p digitize gp digitization registries justice signature cabinet records,34022655:p00232:c07:split-1|34196069:p00240:c05:split-1|40028045:p00129:c04:split-1|34388773:p00253:c11:split-1|34307768:p00043:c05:split-1
projected_digital_for_resilience-c097,335,94,94,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3590,om sops pim pom detail tors lmp manual forth indigenous sop reference,34222788:p00123:c12:split-1|33862093:p00248:c16:split-1|34380714:p00041:c05:split-1|40042661:p00201:c09:split-1|32971756:p00237:c06:split-1
projected_digital_for_resilience-c098,333,79,79,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2807,inventory auditors statement accounting vi iv auditor actual ii iii control auditing,33191006:p00325:c06:split-1|34204848:p00291:c05:split-1|33862093:p00385:c01:split-1|34254903:p00220:c05:split-1|33862093:p00385:c02:split-1
projected_digital_for_resilience-c056,331,108,108,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3068,scorecard revise rf measured results indicators revisions corporate adjust targets intermediate revision,40115517:p00039:c11:split-1|34456824:p00061:c04:split-1|34295403:p00088:c02:split-1|34357064:p00040:c01:split-1|40110522:p00059:c04:split-1
projected_digital_for_resilience-c143,330,87,87,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2528,aims seek designed intended seeks anticipated expected thus proposed potential help however,32321387:p00158:c16:split-1|31167658:p00600:c01:split-1|32527137:p00244:c01:split-1|34194833:p00321:c14:split-1|33602788:p00560:c10:split-1
projected_digital_for_resilience-c003,327,76,76,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3426,participatory exercises consultations stakeholder engagement consulted interested organized citizen campaign ce outreach,33844146:p00319:c06:split-1|32321387:p00276:c18:split-1|40072597:p00179:c01:split-1|34204848:p00199:c10:split-1|34388773:p00305:c10:split-1
projected_digital_for_resilience-c030,327,72,72,"Deploy precision agriculture tools combining sensors, GPS, and analytics for climate-resilient farming",digital_for_resilience,0.3198,blockchain artificial technologies ai intelligence tools emerging leveraging latest technology leverage computing,32108178:p00797:c05:split-1|32527137:p00132:c03:split-1|33753850:p00205:c05:split-1|33753850:p00163:c04:split-1|33815663:p00243:c16:split-1
projected_digital_for_resilience-c140,327,78,78,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3460,irreversible noise dust accidents reversible heritage occupational involuntary predictable habitats adverse influx,40072597:p00208:c03:split-1|33706639:p00498:c03:split-1|33985963:p00360:c07:split-1|31866361:p00147:c04:split-1|31747152:p00380:c09:split-1
projected_digital_for_resilience-c149,327,106,106,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3464,imf suspension supplemental distress dpf facility debt fy21 monetary lending sent crisis,34327188:p00088:c12:split-1|34441286:p00030:c04:split-1|32044477:p00038:c05:split-1|33118666:p00501:c11:split-1|40027697:p00113:c04:split-1
projected_digital_for_resilience-c136,325,46,46,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.4905,credential rbpp card id foundational cr birth registration credentials biometric ditjen vital,31747152:p00496:c06:split-1|40110459:p00326:c02:split-1|33812956:p00196:c04:split-1|34347483:p00035:c10:split-1|31747152:p00172:c02:split-1
projected_digital_for_resilience-c026,324,73,73,Provide emergency connectivity to displaced populations in humanitarian settings,digital_for_resilience,0.3155,subscribe cri speeds internet mbps speed wireless fixed broadband covered penetration traffic,34103719:p00063:c06:split-1|40083718:p00097:c06:split-1|33844146:p00177:c03:split-1|33107441:p00163:c03:split-1|40105675:p00065:c22:split-1
projected_digital_for_resilience-c044,322,80,80,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.3795,survivors rhds unhcr humanitarian refugee refugees aid helping prevention gbv host rehabilitation,34310682:p00109:c16:split-1|40080119:p00192:c17:split-1|33118666:p00249:c17:split-1|34194833:p00220:c11:split-1|32971756:p00725:c21:split-1
projected_digital_for_resilience-c076,322,87,87,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3698,ofag pfm pfmu documented budgeting officer controls auditing accountant accounting internal chief,34338772:p00289:c08:split-1|34131348:p00305:c03:split-1|33822742:p00230:c06:split-1|33813209:p00245:c02:split-1|31167658:p00446:c12:split-1
projected_digital_for_resilience-c035,321,28,28,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.5565,maize vegetables harvest rice shea farmer smallholder agro crops farmers crop farm,31167658:p00199:c06:split-1|31167658:p00621:c04:split-1|31167658:p00620:c05:split-1|31167658:p00615:c08:split-1|32971756:p00567:c05:split-1
projected_digital_for_resilience-c082,321,93,93,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.2608,whr ibrd contingent equivalent overruns million usd ida cerc original amount emergency,34429409:p00191:c03:split-1|33985963:p00263:c28:split-1|40072597:p00144:c01:split-1|33421881:p00189:c16:split-1|40087727:p00207:c08:split-1
projected_digital_for_resilience-c111,320,70,70,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3441,variables calculations estimation sensitivity assumptions ran pessimistic optimistic multiplier parameters conservative relies,31747152:p00132:c08:split-1|31747152:p00334:c03:split-1|31889872:p00470:c02:split-1|34338772:p00237:c18:split-1|34397339:p00222:c26:split-1
projected_digital_for_resilience-c094,319,73,73,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2919,ipsas chart recording accounting statement statements asset controls auditors produce covenants interim,34049907:p00357:c04:split-1|31889872:p00397:c11:split-1|33937854:p00391:c08:split-1|32159893:p00551:c04:split-1|34049907:p00451:c11:split-1
projected_digital_for_resilience-c036,315,77,77,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3062,vii ce campaigns iv vi ii stakeholder iii coordinating consultation outreach awareness,32321387:p00204:c02:split-1|31167658:p00611:c15:split-1|33107441:p00201:c11:split-1|34196069:p00201:c12:split-1|31866282:p00098:c01:split-1
projected_digital_for_resilience-c023,313,72,72,Scale mobile money for post-disaster person-to-person remittances,digital_for_resilience,0.2434,scarcity risking failure banks failures uncertainty cannot limits returns insufficient interest incentives,33830968:p00329:c15:split-1|40110459:p00312:c07:split-1|33985963:p00200:c03:split-1|33786588:p00231:c05:split-1|33985963:p00285:c07:split-1
projected_digital_for_resilience-c073,313,70,70,Design social registries with dynamic expansion capability for rapid shock response,digital_for_resilience,0.3282,enrollments enrollment enroll student eligibility agents fees perform partners students qualified schools,31747152:p00479:c06:split-1|34440132:p00041:c12:split-1|31747152:p00644:c10:split-1|31747152:p00665:c09:split-1|31747152:p00564:c03:split-1
projected_digital_for_resilience-c049,312,27,27,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.4070,nins nimc nin nigerians nims holders nidp abroad deduplication credential nigerian nip,31747152:p00755:c05:split-1|31747152:p00502:c29:split-1|31747152:p00605:c04:split-1|31747152:p00296:c01:split-1|31747152:p00656:c03:split-1
projected_digital_for_resilience-c130,312,84,84,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3382,invoices agent deliverables assistant party advisor thresholds consultant sign firm comprise oversee,33812956:p00345:c03:split-1|33118666:p00305:c18:split-1|34295403:p00136:c05:split-1|33830968:p00373:c11:split-1|33985963:p00342:c21:split-1
projected_digital_for_resilience-c159,312,95,95,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2895,aims aim achieve goal objective objectives targets seeks mpa vision maximize achieving,31167658:p00579:c04:split-1|33107441:p00483:c01:split-1|31167658:p00201:c02:split-1|32971756:p00489:c09:split-1|32527137:p00197:c02:split-1
projected_digital_for_resilience-c039,311,85,85,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2712,somaliland incubation ta vi iv rehabilitation roads iii advisory ii assistance acquisition,34327188:p00159:c07:split-1|33844146:p00218:c05:split-1|33786588:p00276:c01:split-1|33191006:p00197:c03:split-1|33753850:p00290:c03:split-1
projected_digital_for_resilience-c090,311,92,92,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3452,moderate rated substantial rating residual ratings assessed risk overall macroeconomic deemed nature,34327188:p00239:c01:split-1|33835349:p00282:c01:split-1|34275965:p00193:c01:split-1|33985963:p00353:c01:split-1|33118666:p00324:c01:split-1
projected_digital_for_resilience-c120,310,77,77,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2242,designed seek able involve reviewed expanded need require developed used build design,34428613:p00357:c22:split-1|32093931:p00228:c02:split-1|33191006:p00212:c05:split-1|32321387:p00267:c05:split-1|33830968:p00320:c13:split-1
projected_digital_for_resilience-c047,308,88,88,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3147,rated substantial residual macroeconomic moderate rating political risk unchanged remains reflects deemed,34049907:p00385:c01:split-1|33830968:p00329:c01:split-1|34022655:p00477:c01:split-1|32626249:p00252:c01:split-1|33862093:p00308:c01:split-1
projected_digital_for_resilience-c144,308,111,111,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2806,adjusted expected adjustments changes now reflect extension updated continue phase revised proposed,40083718:p00047:c11:split-1|40013198:p00254:c08:split-1|32971756:p00395:c10:split-1|33053299:p00165:c06:split-1|34049898:p00278:c04:split-1
projected_digital_for_resilience-c114,301,63,63,Scale mobile money for post-disaster person-to-person remittances,digital_for_resilience,0.2789,downturn recession containment war shock ukraine hit outbreak exacerbated coronavirus pandemic wake,33191006:p00374:c02:split-1|32527137:p00126:c01:split-1|40052992:p00103:c05:split-1|33706639:p00433:c02:split-1|33345981:p00138:c17:split-1
projected_digital_for_resilience-c156,298,111,111,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2696,timeframe timeline milestones delayed closure delay affect faced delays complexity remaining beyond,40110459:p00403:c08:split-1|33822742:p00290:c25:split-1|32108178:p00574:c03:split-1|33706639:p00545:c02:split-1|33844146:p00376:c06:split-1
projected_digital_for_resilience-c108,295,83,83,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3073,collect verify measure track baseline assess real monitor survey feedback outcomes conduct,40007594:p00044:c07:split-1|33706639:p00198:c04:split-1|33815663:p00345:c08:split-1|31866361:p00418:c07:split-1|31747152:p00178:c09:split-1
projected_digital_for_resilience-c077,292,72,72,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3094,fms fm adequacy af function mfd supervision arrangements specialist staffing missions fsm,33862093:p00280:c15:split-1|33862093:p00280:c01:split-1|34196069:p00318:c02:split-1|34254903:p00229:c07:split-1|33830968:p00310:c05:split-1
projected_digital_for_resilience-c158,292,63,63,Scale mobile money for post-disaster person-to-person remittances,digital_for_resilience,0.2136,rich subsistence gold remittances commodity fishing mineral oil dependent exports concentrated heavily,33822742:p00130:c05:split-1|40045816:p00097:c02:split-1|33706639:p00123:c05:split-1|33830968:p00124:c04:split-1|34429409:p00097:c08:split-1
projected_digital_for_resilience-c004,291,75,75,Deploy shock-responsive G2P digital payment systems linked to national ID and social registries,digital_for_resilience,0.4021,messages camps radio campaigns idps host refugees campaign media zones refugee targeting,31747152:p00213:c05:split-1|34428613:p00157:c02:split-1|33985963:p00158:c15:split-1|32321387:p00437:c06:split-1|33835348:p00202:c03:split-1
projected_digital_for_resilience-c074,291,66,66,"Enable digital credit, savings, and microinsurance products to build household liquidity buffers",digital_for_resilience,0.2571,quantifiable accrue lifetime gains come benefits welfare yield returns increases indirect monetary,33835349:p00263:c04:split-1|34131348:p00235:c07:split-1|34397339:p00218:c07:split-1|32108178:p00736:c11:split-1|31338295:p00368:c13:split-1
projected_digital_for_resilience-c101,291,109,109,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2778,midterm mtr unsatisfactory moderately ms mission mid isr ip milestones missions achievement,34295403:p00030:c12:split-1|34004583:p00027:c24:split-1|34370345:p00029:c07:split-1|40111669:p00063:c01:split-1|40007594:p00042:c01:split-1
projected_digital_for_resilience-c080,290,83,83,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3311,timing workshop appraisal rehabilitation participants preparatory trainees road missions roads duration feasibility,33985963:p00161:c07:split-1|32626249:p00340:c02:split-1|32093931:p00307:c11:split-1|34388773:p00305:c08:split-1|34196069:p00437:c06:split-1
projected_digital_for_resilience-c119,288,65,65,Deploy crowdsourced disaster reporting and social media monitoring for situational awareness,digital_for_resilience,0.4217,feedback citizen gather satisfaction participatory surveys engagement citizens grievances ce channels campaigns,31338295:p00173:c10:split-1|33602788:p00302:c02:split-1|32159890:p00224:c06:split-1|34338772:p00243:c02:split-1|33191006:p00301:c14:split-1
projected_digital_for_resilience-c022,285,52,52,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.5071,id4d convening identification fgn landscape id analytical nigeria foundational ids initiative diagnostic,33813209:p00198:c08:split-1|31747152:p00275:c04:split-1|31747152:p00383:c02:split-1|40042661:p00105:c10:split-1|33421881:p00174:c01:split-1
projected_digital_for_resilience-c103,284,76,76,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3405,risks residual sh substantial risk fiduciary main sea potential impacts privacy associated,32626249:p00251:c07:split-1|40045816:p00244:c02:split-1|34196069:p00449:c02:split-1|31866361:p00303:c11:split-1|33753850:p00377:c02:split-1
projected_digital_for_resilience-c113,284,91,91,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2437,vi iii iv ii schedule section ta following design proposed areas,32093931:p00192:c01:split-1|34388773:p00202:c10:split-1|40027697:p00220:c57:split-1|34429409:p00274:c04:split-1|40013198:p00246:c04:split-1
projected_digital_for_resilience-c062,283,104,104,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2618,mutually reinforcing structured subcomponents ce four around outreach evaluation table supports three,34196134:p00196:c12:split-1|40017533:p00123:c06:split-1|32108178:p00189:c01:split-1|34049898:p00190:c01:split-1|34327188:p00176:c01:split-1
projected_digital_for_resilience-c018,282,79,79,Deploy digital platforms for emergency cash mobilization via mobile money,digital_for_resilience,0.3444,finisa student finances ups cef grants loans hardware finance financing acquisition start,32971756:p00319:c08:split-1|40013198:p00180:c06:split-1|33812956:p00191:c03:split-1|33602788:p00243:c04:split-1|34103719:p00043:c03:split-1
projected_digital_for_resilience-c067,282,70,70,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2331,shortage nascent equipped inadequate teachers pilots lack limited secondary many ai literacy,34218724:p00099:c04:split-1|33830968:p00155:c01:split-1|40052992:p00110:c14:split-1|32971756:p00143:c07:split-1|34194833:p00116:c13:split-1
projected_digital_for_resilience-c051,280,84,84,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2600,piu spiu ciu pius staffed established coordinator specialists fiduciary dedicated staff functions,34192090:p00051:c01:split-1|31889872:p00235:c03:split-1|32093931:p00241:c01:split-1|40042661:p00170:c01:split-1|34196069:p00277:c03:split-1
projected_digital_for_resilience-c033,279,75,75,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3111,budgeting budget budgeted proposal budgetary budgets expenditures allocations expenditure forecast fiscal monthly,32971756:p00397:c01:split-1|40119486:p00010:c09:split-1|32971756:p00395:c01:split-1|34394311:p00284:c05:split-1|33053299:p00132:c03:split-1
projected_digital_for_resilience-c087,275,66,66,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3203,de4a analytical horn ida19 afdb asia dividends engagements initiative wbg aligns builds,33107441:p00150:c01:split-1|33815663:p00179:c01:split-1|33602788:p00177:c01:split-1|34388773:p00136:c08:split-1|33862093:p00144:c08:split-1
projected_digital_for_resilience-c142,275,69,69,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.1967,lr bj malicious number indicator pdo people individuals population iii ii new,40045816:p00246:c01:split-1|33835348:p00196:c01:split-1|33835348:p00219:c01:split-1|33835348:p00197:c01:split-1|33835348:p00203:c01:split-1
projected_digital_for_resilience-c010,273,78,78,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3356,stakeholders stakeholder consultations broad involving society consultation extensive engagement representatives outreach communication,34201758:p00162:c10:split-1|33345981:p00443:c07:split-1|40013198:p00221:c07:split-1|31747152:p00241:c12:split-1|33753850:p00362:c04:split-1
projected_digital_for_resilience-c021,271,81,81,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3548,products digitally enabled range services platforms solutions digitalization usage digital adoption using,33830968:p00211:c13:split-1|34196069:p00147:c09:split-1|40082999:p00055:c05:split-1|32626249:p00423:c12:split-1|33830968:p00191:c09:split-1
projected_digital_for_resilience-c129,271,64,64,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2870,irrs npvs cba frr quantified attributable scenarios great analysis analyses returns return,33602788:p00318:c01:split-1|40081960:p00185:c01:split-1|33421881:p00225:c01:split-1|34222788:p00167:c01:split-1|32093931:p00266:c02:split-1
projected_digital_for_resilience-c139,269,67,67,Deploy digital education continuity platforms for remote learning during crises,digital_for_resilience,0.3313,acquire earnings literacy soft skills advanced basic trained equipped receiving intermediate specialized,33815663:p00162:c02:split-1|34429409:p00200:c05:split-1|32108178:p00165:c03:split-1|34228623:p00245:c07:split-1|34022655:p00289:c04:split-1
projected_digital_for_resilience-c008,267,68,68,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3875,fmis ifmis gifmis mfb treasury payroll rolled module mocd transferred accounting gon,34222788:p00145:c09:split-1|34397339:p00243:c33:split-1|34310682:p00280:c02:split-1|40037981:p00069:c07:split-1|34204848:p00302:c02:split-1
projected_digital_for_resilience-c089,266,79,79,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2973,draws lessons theory learned incorporates builds informed analytical design leverage extensive reflects,33822742:p00221:c05:split-1|31167658:p00310:c02:split-1|34196069:p00267:c01:split-1|34394311:p00173:c01:split-1|34275965:p00150:c01:split-1
projected_digital_for_resilience-c050,263,76,76,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3418,subsidy auction spv reverse scheme model acquisition land mechanism phase operation market,33753850:p00250:c08:split-1|34338772:p00746:c02:split-1|34428613:p00257:c05:split-1|40080119:p00110:c16:split-1|40013198:p00132:c14:split-1
projected_digital_for_resilience-c006,262,69,69,Deploy telemedicine and digital health platforms for continued healthcare access during crises,digital_for_resilience,0.2708,coronavirus outbreak covid deaths pandemic reported cases transmission caused march recorded february,32971756:p00540:c05:split-1|34021975:p00026:c03:split-1|33812956:p00241:c06:split-1|33345981:p00443:c09:split-1|34049907:p00385:c05:split-1
projected_digital_for_resilience-c019,256,66,66,Scale mobile money for post-disaster person-to-person remittances,digital_for_resilience,0.2032,wages influx find employment hours labor salaries employed informal indirect assumes workers,33421881:p00369:c03:split-1|33421881:p00371:c01:split-1|33786588:p00130:c05:split-1|33815663:p00318:c03:split-1|33421881:p00367:c01:split-1
projected_digital_for_resilience-c099,255,45,45,Issue digital identity credentials to displaced and crisis-affected populations lacking documentation,digital_for_resilience,0.4760,kebele historically card cards certificate ids obtaining limits proof absence exclusion indonesia,31747152:p00732:c01:split-1|31747152:p00317:c05:split-1|31167658:p00172:c01:split-1|31747152:p00377:c02:split-1|31747152:p00741:c01:split-1
projected_digital_for_resilience-c053,253,71,71,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.3197,suw equivalent unguaranteed ibrd million ida extending enablers expanding acceleration promoting enabling,33862093:p00190:c02:split-1|33985963:p00190:c27:split-1|34228623:p00177:c02:split-1|34429409:p00175:c08:split-1|34428613:p00166:c09:split-1
projected_digital_for_resilience-c046,248,67,67,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2742,surplus penetration dividends gdp suggests generated increases growth evidence jobs percentage consumer,32108178:p00749:c01:split-1|32971756:p00630:c02:split-1|40013198:p00193:c09:split-1|32108178:p00738:c02:split-1|31167658:p00676:c04:split-1
projected_digital_for_resilience-c107,248,90,90,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3057,pbc pdo pbcs pom pp pce ppsd mpa pim sop spv psc,34131348:p00223:c07:split-1|31866361:p00174:c07:split-1|33786588:p00521:c03:split-1|34429409:p00125:c02:split-1|40026232:p00041:c07:split-1
projected_digital_for_resilience-c083,247,74,74,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2802,audited calendar quarter opinion six unaudited submitted statements interim days ifrs months,34327188:p00276:c11:split-1|34022655:p00550:c04:split-1|34201758:p00272:c04:split-1|34049907:p00452:c15:split-1|34049907:p00451:c16:split-1
projected_digital_for_resilience-c028,237,75,75,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2517,helped help assistance extension ta allow technical addition additional program development system,31889872:p00197:c10:split-1|31167658:p00202:c09:split-1|33830968:p00446:c07:split-1|34194833:p00150:c06:split-1|33345981:p00192:c09:split-1
projected_digital_for_resilience-c024,234,64,64,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.3065,iufrs ifrs unaudited ifr variances quarterly format interim semi prepare statements reports,34049907:p00481:c02:split-1|33421881:p00231:c02:split-1|33844146:p00297:c08:split-1|33822742:p00381:c01:split-1|31747152:p00351:c01:split-1
projected_digital_for_resilience-c147,234,64,64,Deploy digital agriculture extension services for advisory and market access,digital_for_resilience,0.2355,justification teachers personnel students building trainings training iv ta workshops iii vi,33835348:p00203:c04:split-1|33191006:p00205:c17:split-1|33786588:p00277:c01:split-1|34327188:p00172:c05:split-1|33815663:p00263:c01:split-1
projected_digital_for_resilience-c155,231,67,67,"Implement AI and satellite-based measurement, reporting, and verification for climate commitments",digital_for_resilience,0.2517,reduces hours travel savings saving reduced reducing reduction emissions reduce paper time,32971756:p00645:c10:split-1|40100544:p00150:c12:split-1|32108178:p00296:c05:split-1|40080119:p00094:c14:split-1|34327188:p00307:c05:split-1
projected_digital_for_resilience-c054,227,80,80,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.3477,residual assessed rating moderate fm tool risk substantial mitigating deemed fiduciary rated,34204848:p00232:c01:split-1|34131348:p00309:c02:split-1|33822742:p00330:c02:split-1|33812956:p00280:c01:split-1|31866361:p00303:c02:split-1
projected_digital_for_resilience-c112,225,57,57,Address algorithmic fairness and gender exclusion risks in social protection targeting systems,resilience_of_asset,0.3823,smallholders empowerment removing associations women entrepreneurs female headed farmers owned smes entrepreneurship,33345981:p00470:c12:split-1|32321387:p00198:c10:split-1|31167658:p00203:c04:split-1|32321387:p00369:c14:split-1|32527137:p00187:c07:split-1
projected_digital_for_resilience-c153,223,55,55,Build digital business continuity capacity for SMEs and micro-enterprises,digital_for_resilience,0.2865,angel catalyst addis seed accelerator startups incubators startup ups venture incubation agritech,33602788:p00507:c10:split-1|34428613:p00114:c19:split-1|33706639:p00258:c14:split-1|40072597:p00143:c10:split-1|32971756:p00562:c15:split-1
projected_digital_for_resilience-c123,218,72,72,Develop governance frameworks for disputed satellite data and trigger verification post-disaster,digital_for_resilience,0.3215,responded grievances complaint complaints grs redress grievance resolution handling mechanism grm feedback,34049898:p00243:c09:split-1|40028045:p00140:c06:split-1|31747152:p00755:c08:split-1|34049898:p00243:c03:split-1|33813209:p00298:c19:split-1
projected_digital_for_resilience-c148,188,52,52,"Enable digital credit, savings, and microinsurance products to build household liquidity buffers",digital_for_resilience,0.5055,insurance credit lending debt loans products inclusion financial populations poverty improve help,32159893:p00189:c19:split-1|34388773:p00091:c06:split-1|31167658:p00237:c03:split-1|32159893:p00472:c03:split-1|34049898:p00320:c17:split-1
projected_digital_for_resilience-c070,184,59,59,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2701,outdated weaknesses customs pfm fragmented weak absence paper tax lack controls still,34327188:p00111:c05:split-1|33421881:p00129:c06:split-1|31338295:p00286:c11:split-1|33753850:p00139:c09:split-1|31747152:p00131:c11:split-1
projected_digital_for_resilience-c012,183,63,63,Integrate digital climate risk analytics into public financial management systems,digital_for_resilience,0.2284,cumulated eirr worth npv cba irr cumulative scenario neutral indicate billion net,32527137:p00260:c06:split-1|32108178:p00759:c03:split-1|40080119:p00201:c01:split-1|33107441:p00594:c05:split-1|32108178:p00736:c05:split-1
projected_digital_for_resilience-c141,171,66,66,Design oversight and transparency frameworks for parametric trigger calibration and basis risk,digital_for_resilience,0.2722,semi frequency quarterly reporting ifrs reports report record audit annual external submitted,33118666:p00464:c11:split-1|32971756:p00399:c19:split-1|32971756:p00420:c01:split-1|33830968:p00382:c06:split-1|33753850:p00437:c08:split-1
